Vendor SKU,Vendor Price,CBUSA SKU,Product Name
1451872,43.94,12127,5/4 x 16 - 16' MiraTEC Primed Reversible Trim
1450572,10.81,12129,5/4 x 4 - 16' MiraTEC Primed Reversible Trim
1450672,13.52,12130,5/4 x 5 - 16' MiraTEC Primed Reversible Trim
1450772,17.32,12131,5/4 x 6 - 16' MiraTEC Primed Reversible Trim
1450872,21.62,12132,5/4 x 8 - 16' MiraTEC Primed Reversible Trim
7393400,2.57,12158,"3-1/2"" x 50' Sill Sealer"
7393500,3.85,12159,"5-1/2"" x 50' Sill Sealer"
6602800,4.89,12164,Construction Adhesive - 29oz. Tube
148284,4.89,12168,Subfloor Adhesive - 29oz. Tube
841702,0.66,12604,1/2 x 10” Anchor Bolts
5988600,26.37,13795,"14"" Galvanized Flashing"
21500,12.25,13956,15 lb Roofing Felt
23000,12.25,13957,30 lb Roofing Felt
4230300,22,14120,"3.75"" x 90' Zip Tape System"
4230401,18.5,14121,"7/16"" x 4 x 8 OSB Zip Wall System"
9927600,1.9,14455,Simpson 2x10 Double Face Mount Hanger - LUS210-2
5503200,1.37,14466,Simpson 2x6 Double Face Mount Hanger - LUS26-2
9927700,1.07,14476,Simpson 2x10 Face Mount Hanger - LUS210
6322962,0.5,14482,Simpson 2x4 Face Mount Hanger - LUS24
9927800,0.72,14487,Simpson 2x6 Face Mount Hanger - LUS26
6322966,5.38,14532,Simpson Skewed 45 Hangers - SUL26
6322965,5.38,14538,Simpson Skewed 45 Hangers - SUR26
9505000,42.24,14581,16d CC Sinker Nails (50lb)
9316200,15.29,14586,8d Cut Nails - Hot Dipped Galvanized (5lb)
833185,0.18,14594,1/2 Galvanized Flat Washer
,0,14595,1/2 Galvanized Nut
833292,0.08,14599,3/8 Galvanized Flat Washer
833287,0.08,14600,3/8 Galvanized Nut
824500,0.33,14602,5/8 Galvanized Flat Washer
824510,0.21,14603,5/8 Galvanized Nut
839851,17.32,14605,"5/8 x 6"" Galvanized Bolts"
5486300,0.29,14614,Simpson H2.5 Hurricane Tie
9927700,1.07,15230,Simpson 2 x 10 Joist Hanger Z-Max 
5509200,0.06,15236,"Simpson 1/2"" Plywood Clips"
5508700,0.06,15239,"Simpson 5/8"" Plywood Clips"
551100,0.29,15241,Simpson H2.5AZ Hurricane Tie Z-Max
,0,15487,1/2 x 4' x 8' OSB 
9270200,7.99,16177,16d Hot Dipped Galvanized Nails (5lb)
3732700,37.74,16457,Simpson Beam Hanger HGUS5.50/14 (5-1/4 x 14-18)
9435000,42.58,16524,1-3/4 Galvanized Roofing Nails (50lb)
9285000,62.17,16525,16d Hot Dipped Galvanized Nails (50lb)
2063202,27,16587,2 x 6 - 32' #2 FJ SPF
4747800,76.79,18706,6 mil Poly - 20 x 100
2062602,18.75,18911,2 x 6 - 26' #2 FJ SPF 
2062802,18.75,18912,2 x 6 - 28' #2 FJ SPF 
2082602,28,18913,2 x 8 - 26' #2 FJ SPF 
