CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
11033,1-3/4 x 16 - 8' LVL
11034,1-3/4 x 16 1.9E LVL Beam(Price per Linear Foot)
11035,1-3/4 x 18 - 10' LVL
11036,1-3/4 x 18 - 12' LVL
11037,1-3/4 x 18 - 14' LVL
11038,1-3/4 x 18 - 16' LVL
11039,1-3/4 x 18 - 18' LVL
11040,1-3/4 x 18 - 20' LVL
11041,1-3/4 x 18 - 22' LVL
11042,1-3/4 x 18 - 24' LVL
11043,1-3/4 x 18 - 26' LVL
11044,1-3/4 x 18 - 28' LVL
11045,1-3/4 x 18 - 30' LVL
11046,1-3/4 x 18 - 32' LVL
11047,1-3/4 x 18 - 34' LVL
11048,1-3/4 x 18 - 36' LVL
11049,1-3/4 x 18 - 38' LVL
11050,1-3/4 x 18 - 40' LVL
11051,1-3/4 x 18 - 6' LVL
11052,1-3/4 x 18 - 8' LVL
11053,1-3/4 x 18 1.9E LVL Beam(Price per Linear Foot)
11054,1-3/4 x 9-1/2 - 10' LVL
11057,1-3/4 x 9-1/2 - 16' LVL
11059,1-3/4 x 9-1/2 - 20' LVL
11061,1-3/4 x 9-1/2 - 24' LVL
11063,1-3/4 x 9-1/2 - 28' LVL
11072,1-3/4 x 9-1/2 1.9E LVL Beam(Price per Linear Foot)
11073,1-3/4 x 9-1/4 - 10' LVL
11074,1-3/4 x 9-1/4 - 12' LVL
11075,1-3/4 x 9-1/4 - 14' LVL
11076,1-3/4 x 9-1/4 - 16' LVL
11077,1-3/4 x 9-1/4 - 18' LVL
11078,1-3/4 x 9-1/4 - 20' LVL
11079,1-3/4 x 9-1/4 - 22' LVL
11080,1-3/4 x 9-1/4 - 24' LVL
11081,1-3/4 x 9-1/4 - 26' LVL
11082,1-3/4 x 9-1/4 - 28' LVL
11083,1-3/4 x 9-1/4 - 30' LVL
11084,1-3/4 x 9-1/4 - 32' LVL
11085,1-3/4 x 9-1/4 - 34' LVL
11086,1-3/4 x 9-1/4 - 36' LVL
11087,1-3/4 x 9-1/4 - 38' LVL
11088,1-3/4 x 9-1/4 - 40' LVL
11089,1-3/4 x 9-1/4 - 6' LVL
11090,1-3/4 x 9-1/4 - 8' LVL
11091,1-3/4 x 9-1/4 1.9E LVL Beam(Price per Linear Foot)
11111,23/32 x 4' x 8' T&G Advantech
11118,1/4 x 4' x 8' Birch Beaded Plywood
11130,1/2 x 4' x 8' CDX Plywood
11132,3/4 x 4' x 8' CDX Plywood
11133,3/4 x 4' x 8' CDX Treated Plywood
11134,3/8 x 4' x 8' CDX Plywood
11159,1 x 4' x 8' Dow Insulation Board
11216,1/2 x 4' x 8' Foil Back OSB
11219,3/4 x 4' x 8' T&G OSB
11220,5/8 x 4' x 8' OSB
11223,7/16 x 4' x 8' OSB
11224,7/16 x 4' x 8' Techshield Radiant Barrier OSB
11256,1/2 x 4' x 8' CD Treated Plywood
11257,3/4 x 4' x 8' CD Treated Plywood
11263,2 x 10 - 10' #1 Pressure Treated
11264,2 x 10 - 16' #1 Pressure Treated
11271,2 x 2 - 8' #1 w/ Eased Edge Pressure Treated
11272,2 x 4 - 10' #1 Pressure Treated
11273,2 x 4 - 12' #1 Pressure Treated
11274,2 x 4 - 14' #1 Pressure Treated
11275,2 x 4 - 16' #1 Pressure Treated
11278,2 x 4 - 8' #1 Pressure Treated
11279,2 x 6 - 10' #1 Pressure Treated
11280,2 x 6 - 12' #1 Pressure Treated
11281,2 x 6 - 14' #1 Pressure Treated
11282,2 x 6 - 16' #1 Pressure Treated
11285,2 x 6 - 8' #1 Pressure Treated
11286,2 x 8 - 10' #1 Pressure Treated
11287,2 x 8 - 12' #1 Pressure Treated
11288,2 x 8 - 14' #1 Pressure Treated
11289,2 x 8 - 16' #1 Pressure Treated
11291,2 x 8 - 8' #1 Pressure Treated
11296,1 x 4 - 12' #2 Pressure Treated 
11297,1 x 4 - 16' #2 Pressure Treated 
11301,1 x 4 - 8' #2 Pressure Treated 
11303,1 x 6 - 12' #2 Pressure Treated 
11304,1 x 6 - 16' #2 Pressure Treated 
11307,1 x 8 - 12' #2 Pressure Treated 
11310,2 x 10 - 10' #2 Pressure Treated
11311,2 x 10 - 12' #2 Pressure Treated
11312,2 x 10 - 14' #2 Pressure Treated
